Sector,Total External Degree,Average External Degree
Financial Services,2721,13.338235294117647
Real Estate,714,11.15625
Utilities,749,22.696969696969695
Consumer Defensive,478,19.12
Communication Services,329,15.666666666666666
Healthcare,524,10.076923076923077
Energy,715,17.023809523809526
Consumer Cyclical,624,12.235294117647058
Industrials,1038,14.027027027027026
Technology,875,13.461538461538462
Consumer Discretionary,152,38.0
Information Technology,181,36.2
,246,8.785714285714286
Education,18,18.0
Materials,110,36.666666666666664
Basic Materials,44,3.142857142857143
