Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BRK-B,,,,,,,,,,
WMT,,,,,,,,,Consumer Defensive,
JPM,,,,,,,,,Financial Services,
V,,,,,,,,,Financial Services,
MA,,,,,,,,,Financial Services,
COST,,,,,,,,,Consumer Defensive,
ORCL,,,,,,,,,Technology,
NFLX,,,,,,,,,Communication Services,
BAC,,,,,,,,,Financial Services,
TMUS,,,,,,,,,Communication Services,
WFC,,,,,,,,,Financial Services,
CSCO,,,,,,,,,Technology,
PM,,,,,,,,,Consumer Defensive,
IBM,,,,,,,,,Technology,
MRK,,,,,,,,,Healthcare,
MS,,,,,,,,,Financial Services,
AXP,,,,,,,,,Financial Services,
ISRG,,,,,,,,,Healthcare,
PLTR,,,,,,,,,Technology,
T,,,,,,,,,Communication Services,
GS,,,,,,,,,Financial Services,
NOW,,,,,,,,,Technology,
RTX,,,,,,,,,Industrials,
PGR,,,,,,,,,Financial Services,
BKNG,,,,,,,,,Consumer Cyclical,
SPGI,,,,,,,,,Financial Services,
BSX,,,,,,,,,Healthcare,
BLK,,,,,,,,,Financial Services,
C,,,,,,,,,Financial Services,
GILD,,,,,,,,,Healthcare,
TJX,,,,,,,,,Consumer Cyclical,
FI,,,,,,,,,Technology,
ADP,,,,,,,,,Technology,
KKR,,,,,,,,,Financial Services,
BX,,,,,,,,,Financial Services,
APP,,,,,,,,,Technology,
LMT,,,,,,,,,Industrials,
SO,,,,,,,,,Utilities,
WELL,,,,,,,,,Real Estate,
MO,,,,,,,,,Consumer Defensive,
GEV,,,,,,,,,Utilities,
CME,,,,,,,,,Financial Services,
DUK,,,,,,,,,Utilities,
MCO,,,,,,,,,Financial Services,
IBKR,,,,,,,,,Financial Services,
PH,,,,,,,,,Industrials,
AJG,,,,,,,,,Financial Services,
APO,,,,,,,,,Financial Services,
MMM,,,,,,,,,Industrials,
CTAS,,,,,,,,,Industrials,
DASH,,,,,,,,,Communication Services,
FTNT,,,,,,,,,Technology,
MRVL,,,,,,,,,Technology,
COF,,,,,,,,,Financial Services,
REGN,,,,,,,,,Healthcare,
PNC,,,,,,,,,Financial Services,
MSI,,,,,,,,,Technology,
USB,,,,,,,,,Financial Services,
EPD,,,,,,,,,Energy,
WMB,,,,,,,,,Energy,
PYPL,,,,,,,,,Financial Services,
SPG,,,,,,,,,Real Estate,
GD,,,,,,,,,Industrials,
MSTR,,,,,,,,,Technology,
RCL,,,,,,,,,Consumer Cyclical,
ET,,,,,,,,,Energy,
HLT,,,,,,,,,Consumer Cyclical,
BK,,,,,,,,,Financial Services,
OKE,,,,,,,,,Energy,
TFC,,,,,,,,,Financial Services,
FMCCT,,,,,,,,,Financial Services,
KMI,,,,,,,,,Energy,
AFL,,,,,,,,,Financial Services,
MET,,,,,,,,,Financial Services,
AEP,,,,,,,,,Utilities,
HWM,,,,,,,,,Industrials,
MPLX,,,,,,,,,Energy,
PAYX,,,,,,,,,Technology,
AMP,,,,,,,,,Financial Services,
DLR,,,,,,,,,Real Estate,
ARES,,,,,,,,,Financial Services,
ALL,,,,,,,,,Financial Services,
LNG,,,,,,,,,Energy,
CMI,,,,,,,,,Industrials,
DFS,,,,,,,,,Financial Services,
NEM,,,,,,,,,Basic Materials,
D,,,,,,,,,Utilities,
NDAQ,,,,,,,,,Financial Services,
SRE,,,,,,,,,Utilities,
FICO,,,,,,,,,Technology,
OXY,,,,,,,,,Energy,
VST,,,,,,,,,Utilities,
HOOD,,,,,,,,,Financial Services,
BKR,,,,,,,,,Energy,
TRGP,,,,,,,,,Energy,
GLW,,,,,,,,,Technology,
CBRE,,,,,,,,,Real Estate,
RBLX,,,,,,,,,Communication Services,
XEL,,,,,,,,,Utilities,
PEG,,,,,,,,,Utilities,
AXON,,,,,,,,,Industrials,
DAL,,,,,,,,,Industrials,
PWR,,,,,,,,,Industrials,
ETR,,,,,,,,,Utilities,
WEC,,,,,,,,,Utilities,
BRO,,,,,,,,,Financial Services,
HIG,,,,,,,,,Financial Services,
EXR,,,,,,,,,Real Estate,
LYV,,,,,,,,,Communication Services,
TPL,,,,,,,,,Energy,
CCL,,,,,,,,,Consumer Cyclical,
HEI,,,,,,,,,Industrials,
AVB,,,,,,,,,Real Estate,
RJF,,,,,,,,,Financial Services,
NUE,,,,,,,,,Basic Materials,
WAB,,,,,,,,,Industrials,
MCHP,,,,,,,,,Technology,
MTB,,,,,,,,,Financial Services,
EBAY,,,,,,,,,Consumer Cyclical,
UAL,,,,,,,,,Industrials,
VTR,,,,,,,,,Real Estate,
IP,,,,,,,,,Consumer Cyclical,
TW,,,,,,,,,Financial Services,
RDDT,,,,,,,,,Communication Services,
EQR,,,,,,,,,Real Estate,
FITB,,,,,,,,,Financial Services,
EQT,,,,,,,,,Energy,
STT,,,,,,,,,Financial Services,
K,,,,,,,,,Consumer Defensive,
BR,,,,,,,,,Technology,
DTE,,,,,,,,,Utilities,
FCNCA,,,,,,,,,Financial Services,
AEE,,,,,,,,,Utilities,
IRM,,,,,,,,,Real Estate,
DOV,,,,,,,,,Industrials,
CVNA,,,,,,,,,Consumer Cyclical,
DOW,,,,,,,,,Basic Materials,
TYL,,,,,,,,,Technology,
PPL,,,,,,,,,Utilities,
EL,,,,,,,,,Consumer Defensive,
EXPE,,,,,,,,,Consumer Cyclical,
GDDY,,,,,,,,,Technology,
FOX,,,,,,,,,Communication Services,
ATO,,,,,,,,,Utilities,
HBAN,,,,,,,,,Financial Services,
FWONK,,,,,,,,,Communication Services,
SYF,,,,,,,,,Financial Services,
DVN,,,,,,,,,Energy,
