Id,Label,Source_Ticker,Target_Ticker,Weight,Source,Target,,,,Id,Out_Degree,,Id,In_Degree
1,BRK-B,BRK-B,PGR,0.956180042,1,24,,,,1,10,,3,1
2,BRK-B,BRK-B,WELL,0.950198844,1,39,,,,1,10,,6,1
3,BRK-B,BRK-B,WEC,0.954146935,1,105,,,,1,10,,8,2
4,BRK-B,BRK-B,BRO,0.958597305,1,106,,,,1,10,,8,2
5,BRK-B,BRK-B,PPL,0.952727795,1,139,,,,1,10,,10,1
6,BRK-B,BRK-B,ATO,0.955491128,1,144,,,,1,10,,12,1
7,BRK-B,BRK-B,LNT,0.958106016,1,186,,,,1,10,,13,1
8,BRK-B,BRK-B,EVRG,0.95014951,1,191,,,,1,10,,16,2
9,BRK-B,BRK-B,ORI,0.959717674,1,244,,,,1,10,,16,2
10,BRK-B,BRK-B,TOWN,0.959244804,1,448,,,,1,10,,17,3
11,WMT,WMT,JPM,0.95792196,2,3,,,,2,72,,17,3
12,WMT,WMT,COST,0.958618403,2,6,,,,2,72,,17,3
13,WMT,WMT,NFLX,0.959581923,2,8,,,,2,72,,18,3
14,WMT,WMT,TMUS,0.953460851,2,10,,,,2,72,,18,3
15,WMT,WMT,AXP,0.968580009,2,17,,,,2,72,,18,3
16,WMT,WMT,ISRG,0.976048297,2,18,,,,2,72,,19,1
17,WMT,WMT,T,0.971893235,2,20,,,,2,72,,20,4
18,WMT,WMT,GS,0.96419684,2,21,,,,2,72,,20,4
19,WMT,WMT,BSX,0.969529014,2,27,,,,2,72,,20,4
20,WMT,WMT,WMB,0.957529276,2,60,,,,2,72,,20,4
21,WMT,WMT,SPG,0.955147244,2,62,,,,2,72,,21,6
22,WMT,WMT,RCL,0.970541478,2,65,,,,2,72,,21,6
23,WMT,WMT,HLT,0.956350173,2,67,,,,2,72,,21,6
24,WMT,WMT,BK,0.978321084,2,68,,,,2,72,,21,6
25,WMT,WMT,KMI,0.951298786,2,72,,,,2,72,,21,6
26,WMT,WMT,HWM,0.966972124,2,76,,,,2,72,,21,6
27,WMT,WMT,MPLX,0.960840101,2,77,,,,2,72,,24,1
28,WMT,WMT,NDAQ,0.957761257,2,88,,,,2,72,,27,6
29,WMT,WMT,TRGP,0.967176383,2,95,,,,2,72,,27,6
30,WMT,WMT,GLW,0.955051007,2,96,,,,2,72,,27,6
31,WMT,WMT,ETR,0.969579874,2,104,,,,2,72,,27,6
32,WMT,WMT,STT,0.958840942,2,128,,,,2,72,,27,6
33,WMT,WMT,BR,0.950112084,2,130,,,,2,72,,27,6
34,WMT,WMT,AEE,0.955523131,2,133,,,,2,72,,28,1
35,WMT,WMT,CVNA,0.957133311,2,136,,,,2,72,,29,1
36,WMT,WMT,GDDY,0.954713237,2,142,,,,2,72,,30,3
37,WMT,WMT,FOX,0.977162834,2,143,,,,2,72,,30,3
38,WMT,WMT,FWONK,0.954378102,2,146,,,,2,72,,30,3
39,WMT,WMT,UI,0.956991149,2,161,,,,2,72,,31,1
40,WMT,WMT,NTRA,0.960818055,2,163,,,,2,72,,32,6
41,WMT,WMT,NI,0.970736155,2,168,,,,2,72,,32,6
42,WMT,WMT,PODD,0.954854644,2,171,,,,2,72,,32,6
43,WMT,WMT,USFD,0.964788074,2,187,,,,2,72,,32,6
44,WMT,WMT,CHWY,0.953904424,2,195,,,,2,72,,32,6
45,WMT,WMT,SFM,0.979094096,2,200,,,,2,72,,32,6
46,WMT,WMT,PRMB,0.968203715,2,216,,,,2,72,,33,5
47,WMT,WMT,TKO,0.960256062,2,220,,,,2,72,,33,5
48,WMT,WMT,DTM,0.956697692,2,245,,,,2,72,,33,5
49,WMT,WMT,TLN,0.976713296,2,251,,,,2,72,,33,5
50,WMT,WMT,EXLS,0.96184329,2,283,,,,2,72,,33,5
